Project,Version,Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;max(cc);avg(cc);bugs
student-18;ver-417;class-188061;2;2;-;2;9;1;1;1;1;2.0;30;0.0;0;0.6666667;0.75;1;1;14.0;-;-;-;-;-;-;1;0.5;0
student-18;ver-417;class-188054;2;1;-;5;7;1;1;4;1;2.0;34;0.0;0;0.0;0.5;0;0;16.0;-;-;-;-;-;-;1;0.5;0
student-18;ver-417;class-188052;2;5;-;8;15;0;1;7;1;1.0;515;0.25;1;0.9980952;0.6666667;0;0;254.5;-;-;-;-;-;-;2;1.0;1
student-18;ver-417;class-188048;6;1;-;10;34;15;5;5;4;2.0;376;0.0;0;0.0;0.4047619;0;0;61.666668;-;-;-;-;-;-;23;4.5;1
student-18;ver-417;class-188053;4;1;-;4;21;6;4;0;2;2.0;123;0.0;0;0.0;0.25;0;0;29.75;-;-;-;-;-;-;6;3.0;1
student-18;ver-417;class-188063;2;2;-;2;8;1;1;1;1;2.0;29;0.0;0;0.6666667;0.75;1;1;13.5;-;-;-;-;-;-;1;0.5;0
student-18;ver-417;class-188066;6;1;-;4;8;3;3;1;5;0.7;141;0.0;0;0.0;0.30555555;0;0;22.166666;-;-;-;-;-;-;2;1.1666666;1
student-18;ver-417;class-188065;2;2;-;3;16;1;0;3;2;2.0;68;0.0;0;0.90909094;0.5;0;0;33.0;-;-;-;-;-;-;3;1.5;0
student-18;ver-417;class-188064;7;1;-;5;28;1;1;4;4;0.5;247;1.0;2;0.0;0.47619048;0;0;34.0;-;-;-;-;-;-;7;2.5714285;1
student-18;ver-417;class-188068;6;1;-;3;26;5;0;3;4;0.6;210;0.5;1;0.0;0.33333334;0;0;33.0;-;-;-;-;-;-;3;1.1666666;0
student-18;ver-417;class-188062;5;1;-;7;14;10;3;4;2;2.0;75;0.0;0;0.0;0.5;0;0;14.0;-;-;-;-;-;-;6;2.2;0
student-18;ver-417;class-188051;8;1;-;1;37;22;1;0;7;0.6904762;347;0.0;0;0.0;0.35;0;0;41.625;-;-;-;-;-;-;1;0.875;1
student-18;ver-417;class-188059;8;2;-;3;14;10;2;2;8;0.78571427;99;0.25;1;0.6956522;0.4;1;1;10.875;-;-;-;-;-;-;3;1.375;0
student-18;ver-417;class-188045;11;1;-;9;25;0;5;4;8;0.76666665;176;0.0;0;0.0;0.5;0;0;14.727273;-;-;-;-;-;-;4;2.0;0
student-18;ver-417;class-188070;3;1;-;2;28;0;1;1;3;0.45;630;0.0;0;0.0;1.0;0;0;205.66667;-;-;-;-;-;-;1;0.6666667;1
